id_empleado,nombre,dni,email,salario,sucursal_id,cargo,tipo_evento,fecha_evento
E00760,Ricardo Castillo,49204579,ricardo.castillo@electrocasa.pe,2604.98,S07,Supervisor de tienda,transferencia,2026-06-14
E01154,Oscar Rodriguez,35262570,oscar.rodriguez@electrocasa.pe,2798.38,S18,Gerente de tienda,transferencia,2026-07-02
E00335,Fernando Salazar,59497446,fernando.salazar@electrocasa.pe,4819.75,S22,Vendedor,Cambio Salario,2026-04-07
E01290,Carmen Torres,35401600,carmen.torres@electrocasa.pe,2545.21,S14,Asesor de ventas,alta,2026-01-08
E01495,Oscar Martinez,36723094,oscar.martinez@electrocasa.pe,4078.01,S19,Encargado de almacen,Alta,2026-03-17
E01087,Juan Perez,17681264,juan.perez@electrocasa.pe,3009.42,S21,Encargado de almacen,alta,2026-03-11
E01543,Luis Salazar,38620434,luis.salazar@electrocasa.pe,1827.8,S36,Asesor de ventas,CAMBIO_SALARIO,2026-02-26
E00979,Vanessa Chavez,59673047,vanessa.chavez@electrocasa.pe,3518.58,S09,Gerente de tienda,alta,2026-07-24
E00981,Ana Vargas,55102607,ana.vargas@electrocasa.pe,4346.72,S05,Gerente de tienda,BAJA,2026-05-23
E00646,Diana Ramos,57915403,diana.ramos@electrocasa.pe,2213.1,S28,Cajero,alta,2026-06-28
E01440,Elena Ramos,32352478,elena.ramos@electrocasa.pe,1304.94,S39,Cajero,ALTA,2026-08-13
E01383,Alberto Castillo,40234210,alberto.castillo@electrocasa.pe,2159.5,S21,Gerente de tienda,cambio salario,2026-04-14
E01912,Oscar Rivera,61309530,oscar.rivera@electrocasa.pe,1447.29,S22,Supervisor de tienda,Baja,2026-08-17
E00976,Vanessa Flores,24773100,vanessa.flores@electrocasa.pe,2838.42,S16,Cajero,transferencia,2026-06-14
E01522,Pilar Flores,16418576,pilar.flores@electrocasa.pe,2290.35,S34,Encargado de almacen,Baja,2026-06-10
E00281,Carlos Romero,33178262,carlos.romero@electrocasa.pe,4392.92,S10,Supervisor de tienda,transferencia,2026-04-10
E00292,Rosa Lopez,23219557,rosa.lopez@electrocasa.pe,2128.32,S06,Cajero,Cambio Salario,
E01974,Maria Castillo,32844680,maria.castillo@electrocasa.pe,3903.66,S40,Encargado de almacen,TRANSFERENCIA,2026-06-27
E00682,Elena Martinez,13816763,elena.martinez@electrocasa.pe,2549.57,S36,Encargado de almacen,alta,2026-08-24
E00596,Oscar Mendoza,75965638,oscar.mendoza@electrocasa.pe,1201.36,S30,Asesor de ventas,ALTA,2026-06-06
